pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
PWY-5918	superpathway of heme b biosynthesis from glutamate	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	17.9256559201	1206.85288866064	-2.5338867944242045	0.3070649614614526	0.5025550622312621	down
PWY-5920	superpathway of heme b biosynthesis from glycine	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	877.0319612549199	-3.3522644256949676	0.373900966300059	0.5025550622312621	down
PWY-5941	glycogen degradation II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	20.216386044	379.85121794349004	-2.3369164097521424	0.320863242566214	0.5025550622312621	down
PWY-5973	cis-vaccenate biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	318.70531407679	-2.4575751864343833	0.373900966300059	0.5025550622312621	down
PWY-5981	CDP-diacylglycerol biosynthesis III	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	33.2854276964	504.11011327385006	-4.9986216456859935	0.17044539550651058	0.5025550622312621	down
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	26.97308224	2364.64410946454	-0.8778336174484137	0.32483396297011785	0.5025550622312621	down
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	26.221074632399997	2498.68549437053	-1.0723950454739013	0.2022192352229139	0.5025550622312621	down
PWY-6123	inosine-5'-phosphate biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1614.2668889970603	-4.221863509112419	0.373900966300059	0.5025550622312621	down
PWY-6124	inosine-5'-phosphate biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1605.81712317658	-4.810454733258141	0.373900966300059	0.5025550622312621	down
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	1020.9642172565698	-0.7376432860108826	0.6129435197445791	0.7127250229588129	down
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	45.3908334033	1800.3739728798403	-5.597959525359942	0.15754980221249934	0.5025550622312621	down
