srna_id	sample_id	condition	present
STRG.812	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8396	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8460	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8465	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8571	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8577	AD_S1_2016_T2_R1_RNA	dry	1
STRG.859	AD_S1_2016_T2_R1_RNA	dry	1
STRG.860	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8736	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8762	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8794	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8809	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8904	AD_S1_2016_T2_R1_RNA	dry	1
STRG.8927	AD_S1_2016_T2_R1_RNA	dry	1
STRG.902	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9058	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9293	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9320	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9360	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9593	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9744	AD_S1_2016_T2_R1_RNA	dry	1
STRG.9875	AD_S1_2016_T2_R1_RNA	dry	1
